crash_id,user_id
20241115,1
20241125,2
20246013,3
20241002,4
20243185,5
20244016,6
20243168,7
20246003,8
20246001,9
20244081,10
20241087,11
20241054,12
20244042,13
20243246,14
20241101,15
20241216,16
20241300,17
20243007,18
20241278,19
20241149,20
20241068,21
20243273,22
20244020,23
20244055,24
20244055,25
20241094,26
20243160,27
20243160,28
20243209,29
20244001,30
20243243,31
20246016,32
20241119,33
20241119,34
20241169,35
20241291,36
20243036,37
20244026,38
20241077,39
20241028,40
20241022,41
20243015,42
20244023,43
20241098,44
20243114,45
20243114,46
20241040,47
20241174,48
20241088,49
20241255,50
20241053,51
20241053,52
20243046,53
20243046,54
20241080,55
20243044,56
20241274,57
20243176,58
20241181,59
20243110,60
20244044,61
20243147,62
20244019,63
20241194,64
20241139,65
20241197,66
20243220,67
20243267,68
20241057,69
20243174,70
20241166,71
20243213,72
20241096,73
20242089,74
20243073,75
20241027,76
20241163,77
20243143,78
20241222,79
20241218,80
20243249,81
20243098,82
20241306,83
20243037,84
20244083,85
20241196,86
20244028,87
20244028,88
20243038,89
20242023,90
20242230,91
20242127,92
20242120,93
20241106,94
20241230,95
20241055,96
20241267,97
20242260,98
20242057,99
20243153,100
20242161,101
20241236,102
20243172,103
20241188,104
20243191,105
20243191,106
20241256,107
20241256,108
20242019,109
20243008,110
20243001,111
20243041,112
20244021,113
20243113,114
20241107,115
20243022,116
20248002,117
20242088,118
20241173,119
20241173,120
20241004,121
20246004,122
20241201,123
20241029,124
20243005,125
20241261,126
20244024,127
20241215,128
20243186,129
20243208,130
20241134,131
20243040,132
20243040,133
20241263,134
20241302,135
20241147,136
20243248,137
20243096,138
20241150,139
20241247,140
20241234,141
20242110,142
20242052,143
20243247,144
20243144,145
20241235,146
20243087,147
20243087,148
20244061,149
20241009,150
20241072,151
20243129,152
20242219,153
20241219,154
20244010,155
20244040,156
20243171,157
20242075,158
20243079,159
20241045,160
20243017,161
20243017,162
20241160,163
20241081,164
20241135,165
20241209,166
20242140,167
20242140,168
20242142,169
20243107,170
20243020,171
20241151,172
20243158,173
20241286,174
20243102,175
20241303,176
20246029,177
20248005,178
20244018,179
20241060,180
20241060,181
20242022,182
20241037,183
20241257,184
20241128,185
20243089,186
20242181,187
20243082,188
20243150,189
20243170,190
20243239,191
20242040,192
20243084,193
20241030,194
20243127,195
20243003,196
20243266,197
20241042,198
20243121,199
20241175,200
20243072,201
20244057,202
20241091,203
20243201,204
20242135,205
20243225,206
20241167,207
20244060,208
20241268,209
20244013,210
20243235,211
20243235,212
20244059,213
20244059,214
20241266,215
20243131,216
20242080,217
20241287,218
20241152,219
20243161,220
20242042,221
20243210,222
20244025,223
20243088,224
20241211,225
20241211,226
20242007,227
20241204,228
20244062,229
20241137,230
20243117,231
20242081,232
20243206,233
20248003,234
20244032,235
20241153,236
20242138,237
20243198,238
20242107,239
20243080,240
20242204,241
20242139,242
20241103,243
20242129,244
20244027,245
20243006,246
20243108,247
20243212,248
20241237,249
20241052,250
20241308,251
20246027,252
20244072,253
20241195,254
20244043,255
20241102,256
20243194,257
20243070,258
20243165,259
20241063,260
20241132,261
20241292,262
20241189,263
20241233,264
20241233,265
20241233,266
20241233,267
20242115,268
20242167,269
20241016,270
20243234,271
20246025,272
20241220,273
20241034,274
20242012,275
20243009,276
20243009,277
20241269,278
20242093,279
20242176,280
20242255,281
20241066,282
20242175,283
20243207,284
20242029,285
20241246,286
20241078,287
20243064,288
20241013,289
20241013,290
20246019,291
20242257,292
20241138,293
20244014,294
20244069,295
20242053,296
20243111,297
20243067,298
20242186,299
20242250,300
20243167,301
20243106,302
20242098,303
20241179,304
20242070,305
20243261,306
20243227,307
20242243,308
20242102,309
20241109,310
20243187,311
20241301,312
20243135,313
20241248,314
20243268,315
20242071,316
20241020,317
20241294,318
20241304,319
20242123,320
20242144,321
20241199,322
20241199,323
20243066,324
20243233,325
20243203,326
20242209,327
20242056,328
20242130,329
20243109,330
20243109,331
20243010,332
20243181,333
20246018,334
20241071,335
20241186,336
20243078,337
20241223,338
20241221,339
20241143,340
20243242,341
20242189,342
20242170,343
20243043,344
20241140,345
20244063,346
20241131,347
20242172,348
20241111,349
20242055,350
20241017,351
20244067,352
20246024,353
20241254,354
20241254,355
20243011,356
20246011,357
20242177,358
20241127,359
20241210,360
20242132,361
20242132,362
20242184,363
20241253,364
20243024,365
20242224,366
20243031,367
20242069,368
20243156,369
20242251,370
20244034,371
20242090,372
20243231,373
20243231,374
20243231,375
20242194,376
20243142,377
20242043,378
20243124,379
20244007,380
20242060,381
20243104,382
20244041,383
20246026,384
20243021,385
20242155,386
20242032,387
20241285,388
20244066,389
20242064,390
20242164,391
20244035,392
20243018,393
20242086,394
20243217,395
20243251,396
20243058,397
20244046,398
20243085,399
20244039,400
20243240,401
20246002,402
20246002,403
20242099,404
20242099,405
20243063,406
20241176,407
20247022,408
20241086,409
20241224,410
20241265,411
20241202,412
20246023,413
20241293,414
20241299,415
20244078,416
20243164,417
20242201,418
20241307,419
20242074,420
20242074,421
20241243,422
20241243,423
20247034,424
20241260,425
20243004,426
20246014,427
20246014,428
20242024,429
20243169,430
20243081,431
20243081,432
20242169,433
20241110,434
20241082,435
20241159,436
20246022,437
20241229,438
20242026,439
20242268,440
20242238,441
20242122,442
20241046,443
20241046,444
20241046,445
20243192,446
20241032,447
20241032,448
20241031,449
20243254,450
20243133,451
20241203,452
20243118,453
20243173,454
20243199,455
20244003,456
20241298,457
20242112,458
20242112,459
20243092,460
20243042,461
20244005,462
20243178,463
20244050,464
20241208,465
20242259,466
